Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,1-Jan-15,2558.25,2567,2567,2541,2550,2545.55,2548.51,183415,467434456.2,8002,52870,28.83
TCS,EQ,2-Jan-15,2545.55,2551,2590.95,2550.6,2588.4,2579.45,2568.19,462870,1188740110,27585,309350,66.83
TCS,EQ,5-Jan-15,2579.45,2581,2599.9,2524.65,2538.1,2540.25,2563.94,877121,2248885541,43234,456728,52.07
TCS,EQ,6-Jan-15,2540.25,2529.1,2529.1,2440,2450.05,2446.6,2466.9,1211892,2989615356,84503,714306,58.94
TCS,EQ,7-Jan-15,2446.6,2470,2479.15,2407.45,2426.9,2417.7,2433.96,1318166,3208362462,101741,886368,67.24
TCS,EQ,8-Jan-15,2417.7,2442.4,2449,2420.55,2446,2443.8,2434.81,782704,1905739345,47699,450768,57.59
TCS,EQ,9-Jan-15,2443.8,2455,2519.9,2450,2510,2512.3,2490.01,1598821,3981082206,81743,865777,54.15
TCS,EQ,12-Jan-15,2512.3,2517,2528,2480.25,2527.95,2509.7,2497.82,798003,1993265997,58810,451228,56.54
TCS,EQ,13-Jan-15,2509.7,2520,2530.4,2480.1,2498,2497.9,2509.4,734216,1842440373,49993,386133,52.59
TCS,EQ,14-Jan-15,2497.9,2516,2531.8,2500.5,2525.05,2521.95,2517.54,893548,2249546196,69237,498193,55.75
TCS,EQ,15-Jan-15,2521.95,2533,2581.75,2523.25,2542.05,2539.1,2550.97,2504960,6390076185,96363,1598846,63.83
TCS,EQ,16-Jan-15,2539.1,2543.7,2545,2484.3,2526,2532.15,2511.39,2646915,6647444421,127847,1372200,51.84
TCS,EQ,19-Jan-15,2532.15,2536,2551,2503,2509,2511,2516.06,567537,1427954312,38860,309156,54.47
TCS,EQ,20-Jan-15,2511,2520,2530,2483.25,2498,2500.45,2498.94,1029283,2572121221,58066,733487,71.26
TCS,EQ,21-Jan-15,2500.45,2522,2522,2488.25,2518,2513.8,2507.75,1155240,2897054576,75976,771316,66.77
